target	key	en	ar
SharedResource	App.Name	Housing Gate	بوابة السكن
SharedResource	Nav.Home	Home	الرئيسية
SharedResource	Nav.FindHousing	Find Housing	ابحث عن سكن
SharedResource	Nav.Matches	Roommate Matches	تطابق زملاء الغرفة
SharedResource	Nav.MyApplications	My Applications	طلباتي
SharedResource	Nav.Dashboard	Dashboard	لوحة التحكم
SharedResource	Nav.MyProperties	My Properties	ممتلكاتي
SharedResource	Nav.Applications	Applications	الطلبات
SharedResource	Nav.Users	Users	المستخدمون
SharedResource	Nav.Properties	Properties	العقارات
SharedResource	Nav.Complaints	Complaints	الشكاوى
SharedResource	Nav.Reviews	Reviews	التقييمات
SharedResource	Nav.AuditLogs	Audit Logs	سجلات التدقيق
SharedResource	Audit.Action.Student.Verify	Verify student	توثيق طالب
SharedResource	Audit.Action.Student.Reject	Reject student verification	رفض توثيق طالب
SharedResource	Audit.Action.Student.RequestDocuments	Request student documents	طلب مستندات الطالب
SharedResource	Audit.Action.Owner.Verify	Verify owner	توثيق مالك
SharedResource	Audit.Action.Owner.Reject	Reject owner verification	رفض توثيق مالك
SharedResource	Audit.Action.Property.Approve	Approve property	اعتماد عقار
SharedResource	Audit.Action.Property.Reject	Reject property	رفض عقار
SharedResource	Audit.Action.User.Suspend	Suspend user	تعليق مستخدم
SharedResource	Audit.Action.User.Activate	Activate user	تفعيل مستخدم
SharedResource	Audit.Action.Complaint.Respond	Respond to complaint	الرد على شكوى
SharedResource	Audit.Action.Review.Approve	Approve review	اعتماد تقييم
SharedResource	Audit.Action.Review.Remove	Remove review	إزالة تقييم
SharedResource	Audit.Entity.Student	Student	طالب
SharedResource	Audit.Entity.Owner	Owner	مالك
SharedResource	Audit.Entity.Property	Property	عقار
SharedResource	Audit.Entity.User	User	مستخدم
SharedResource	Audit.Entity.Complaint	Complaint	شكوى
SharedResource	Audit.Entity.Review	Review	تقييم
SharedResource	Nav.HowItWorks	How it works	كيف يعمل
SharedResource	Nav.About	About	من نحن
SharedResource	Nav.SignIn	Sign in	تسجيل الدخول
SharedResource	Nav.JoinNow	Join now	انضم الآن
SharedResource	Nav.SignOut	Sign out	تسجيل الخروج
SharedResource	Nav.MyProfile	My Profile	ملفي الشخصي
SharedResource	Nav.ViewAll	View all	عرض الكل
SharedResource	Nav.Toggle	Toggle navigation	تبديل التنقل
SharedResource	Nav.Notifications	Notifications	الإشعارات
SharedResource	Nav.AllCaughtUp	You're all caught up.	لا توجد إشعارات جديدة.
SharedResource	Nav.Brand	Housing Gate	بوابة السكن
SharedResource	Layout.FooterTagline	Verified student housing and roommate matching for university students.	سكن طلابي موثق ومطابقة زملاء الغرفة لطلاب الجامعات.
SharedResource	Layout.ForStudents	For students	للطلاب
SharedResource	Layout.AboutUs	About us	من نحن
SharedResource	Layout.NeedHelp	Need help?	تحتاج مساعدة؟
SharedResource	Layout.NeedHelpText	Open a complaint from your dashboard and our team will follow up.	افتح شكوى من لوحة التحكم وسيتابع فريقنا الأمر.
SharedResource	Layout.Close	Close	إغلاق
SharedResource	Layout.Language	Language	اللغة
SharedResource	Layout.OtherLanguage	English	English
SharedResource	Common.Save	Save	حفظ
SharedResource	Common.Cancel	Cancel	إلغاء
